age_group,gender,role_in_household,household_size,household_head_education,primary_income,main_drinking_water,distance_to_water_source,litres_per_person_per_day,bathing_frequency,weekly_water_cost,equitable_access,household_shortage_frequency,household_shortage_seriousness,shortage_reason,school_affiliation,school_role,school_type,school_ownership,school_student_population,school_staff_population,school_has_potable_water,school_water_source,school_monthly_water_cost,school_hours_water_available,school_equitable_access,school_water_challenges,school_drinking_frequency,school_has_handwashing_facilities,school_handwashing_frequency,school_sleep_without_bathing,school_sleep_without_bathing_frequency,health_affiliation,health_facility_typehealth_facility_type,health_facility_ownership,health_daily_patients,health_staff_count,health_water_source,health_water_reliability,health_monthly_water_cost,health_shortage_frequency,health_shortage_coping,health_service_disruptions,health_services_affected,health_toilet_closures,health_sanitation_management,health_handwashing_impact,health_hygiene_problems,health_sanitation_difficulty,community_water_challenges,community_water_suggestions,additional_information,litres_per_person_per_day_num,household_shortage_frequency_num,shortage_reason_list,distance_to_water_source_numeric,weekly_water_cost_ssp,weekly_water_cost_usd,school_monthly_water_cost_ssp,school_monthly_water_cost_usd,health_monthly_water_cost_ssp,health_monthly_water_cost_usd,school_has_potable_water_numeric,school_has_potable_water_clean,school_hours_water_available_numeric,school_handwashing_frequency_numeric,school_sleep_without_bathing_numeric,school_sleep_without_bathing_frequency_numeric,health_water_reliability_numeric,health_service_disruptions_numeric,health_shortage_frequency_numeric,health_toilet_closures_numeric,health_handwashing_impact_numeric,health_hygiene_problems_numeric,health_sanitation_difficulty_numeric,high_cost,shortage,quality,access,infrastructure,pipes,boreholes,treatment,more_taps,education,additional_high_cost,additional_shortage,additional_quality,additional_access,additional_infrastructure,additional_pipes,additional_boreholes,additional_treatment,additional_more_taps,additional_education,high_cost.1,shortage.1,quality.1,access.1,infrastructure.1,pipes.1,boreholes.1,treatment.1,more_taps.1,education.1,additional_high_cost.1,additional_shortage.1,additional_quality.1,additional_access.1,additional_infrastructure.1,additional_pipes.1,additional_boreholes.1,additional_treatment.1,additional_more_taps.1,additional_education.1,cluster_kmeans,cluster_agg,cluster_dbscan
25-34,Male,Child,8,Tertiary school,Student,Borehole,100-500m,30 - 70,Twice per day,600000.0,1.0,2,1.0,High cost of water,Yes,Student,University/College,Public,"More than 2,000",More than 200,1,Borehole / Well,600000.0,Less than 2 hours,Maybe,Poor water quality,2-3 times,none,Once,Yes,Daily,No,,,,,,,250000.0,,,,,,,,,Not Applicable,"The main challenge in Juba, South Sudan, is that there is no proper availability of water facilities, which makes it difficult for residents to clean drinking water in times of need.","Yeah, my suggestion is that the South Sudan government must invest in water sectors so that the populations should not be in difficulty of water scarcity. ",Not Provided,50.0,2,['High cost of water'],300.0,600000.0,133.33333333333334,600000.0,133.33333333333334,250000.0,55.55555555555556,,1,1.0,1.0,1.0,7.0,,,,,,,not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
25-34,Male,Child,8,Primary school,Farming,Water Tank,500m-1km,30 - 70,Twice per day,100.0,,3,3.0,High cost of water,Yes,Student,Secondary,Private,"500-1,000",Less than 50,1,Borehole / Well,1000.0,6-12 hours,No,Poor water quality,2-3 times,1,2-3 times,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Poor quality of drinking water and high cost of drinking water ,Government should initiate the drainage system of water supply in Juba as a whole ,No,50.0,3,['High cost of water'],500.0,100.0,0.0222222222222222,1000.0,0.2222222222222222,250000.0,55.55555555555556,,1,9.0,2.5,1.0,4.0,,,,,,,not applicable,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
18-24,Female,Relative,6,Secondary School,Farming,Borehole,More than 1km,more than 120,Twice per day,100000.0,,1,3.0,High cost of water,Yes,Student,University/College,Public,"More than 2,000",More than 200,1,Water tank,500000.0,6-12 hours,Yes,"Long queues, Water is expensive, Poor water quality",More than 3 times,none,More than 3 times,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,The price of the water is high ,My own suggestion would be building of more taps ,Not really ,130.0,1,['High cost of water'],1020.0,100000.0,22.222222222222225,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,9.0,4.0,1.0,2.0,,,,,,,not applicable,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
18-24,Male,Child,12,Tertiary school,Salaried job,Water Tank,More than 1km,more than 120,Twice per day,63000.0,,3,3.0,High cost of water,Yes,Student,University/College,Public,"More than 2,000",101-200,0,Water tank,500000.0,Less than 2 hours,No,Limited storage facilities,Rarely,0,never,Yes,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,"Well, the quality of water and high cost are major concerns in my community.",Setting water pipelines all over Juba such that clean drinking water is accessible to all,"Since, our country has portable source of water, I beseech the concerned authority to reach all areas with clean drinking and affordable water.",130.0,3,['High cost of water'],1020.0,63000.0,14.0,500000.0,111.11111111111111,250000.0,55.55555555555556,,0,1.0,0.0,1.0,1.0,,,,,,,not applicable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Relative,6,Tertiary school,Casual labour,Water Tank,More than 1km,25 - 30,Once per day,5000.0,,3,3.0,"High cost of water, Long distance to water source, Poor water quality",No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Long distance ,Setting up water supply systems ,Government should take it as priority ,27.5,3,"['High cost of water', 'Long distance to water source', 'Poor water quality']",1020.0,5000.0,1.1111111111111112,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Head of household,5,Tertiary school,Salaried job,Piped water,100-500m,30 - 70,Twice per day,50000.0,,2,2.0,"High cost of water, Long distance to water source, Poor water quality",No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,"High cost of water 
Distance to water sources 
Absence of no enough water facilities ","Water facilities such as pipes should be many in the area and linked to the water

Water should be well treated to avoid disease infections

Enough pipes Water in the area will reduce the prices of water bought from water tanks",No,50.0,2,"['High cost of water', 'Long distance to water source', 'Poor water quality']",300.0,50000.0,11.111111111111112,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
45-54,Male,Head of household,10,Tertiary school,Casual labour,Water Tank,100-500m,25 - 30,Twice per day,98000.0,0.0,2,1.0,High cost of water,Yes,Teacher,University/College,Public,"500-1,000",50-100,1,Water tank,500000.0,2-6 hours,Yes,Limited storage facilities,2-3 times,1,2-3 times,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Lack of it,Laying the pipe to households ,No,27.5,2,['High cost of water'],300.0,98000.0,21.77777777777778,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,4.0,2.5,1.0,2.0,,,,,,,not applicable,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
25-34,Male,Relative,5,Tertiary school,Salaried job,River/Lake,More than 1km,25 - 30,Twice per day,30000.0,,2,2.0,"High cost of water, Limited daily supply, Poor water quality",No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,not applicable,Not Applicable,500000.0,Not Applicable,,,,,,,,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Poor water quality ,"Treated water tap systems to compound will be better compared to traditional track and community taps, this will help to improve water quality by eliminating contamination and also reduce water cost while eliminating rampant accident cause by tank track drivers.",No,27.5,2,"['High cost of water', 'Limited daily supply', 'Poor water quality']",1020.0,30000.0,6.666666666666667,500000.0,111.11111111111111,250000.0,55.55555555555556,,not applicable,,,,,,,,,,,not applicable,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
25-34,Male,Relative,15,No formal education,Remittances,Water Tank,500m-1km,25 - 30,Twice per day,14000.0,0.0,2,0.0,"Long distance to water source, Seasonal scarcity",Yes,Teacher,Secondary,Private,"500-1,000",Less than 50,1,Borehole / Well,500000.0,Always available,Yes,"Long queues, In case of teachers' water, it's a delay due from the administration not paying as quickly as possible. For the case of students, of course long queues because the borehole is one. ",More than 3 times,0,2-3 times,No,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,It's always the fact that the available water is not well treated. It's either less treatment or none. There is treatment plan no nothing. It's all boring my friend ??,Government should take the water supply into her hand not be left in the hand of the business personnels who are largely interested profits not public health. ,Other time ??,27.5,2,"['Long distance to water source', 'Seasonal scarcity']",500.0,14000.0,3.111111111111111,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,,2.5,0.0,1.0,,,,,,,not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
25-34,Male,Tenant,2,Tertiary school,Business,Water Tank,More than 1km,25 - 30,Twice per day,100000.0,,3,1.0,Long distance to water source,Yes,Student,University/College,Public,"More than 2,000",More than 200,1,Water tank,1000000.0,2-6 hours,No,"Water is far from classrooms, Poor water quality, Limited storage facilities",More than 3 times,none,Rarely,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,"Poor water sanitation, transportation, price and delivery shortage. ","Water distribution, improving treatment methods and water sanitation. ",No,27.5,3,['Long distance to water source'],1020.0,100000.0,22.222222222222225,1000000.0,222.22222222222223,250000.0,55.55555555555556,,1,4.0,,1.0,4.0,,,,,,,not applicable,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
18-24,Male,Relative,6,Secondary School,Remittances,Water Tank,500m-1km,101 -120,Twice per day,60000.0,,2,2.0,High cost of water,Yes,Student,Secondary,Private,"500-1,000",Less than 50,2,Borehole / Well,500000.0,Always available,Yes,Long queues,2-3 times,1,More than 3 times,No,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,Absence of chlorine that can be use to keep the water clean ,Building of water pipe and treat water before supply ,It is good to address the issues of water so that it can reduce high risk of water borne diseases ,110.5,2,['High cost of water'],500.0,60000.0,13.333333333333334,500000.0,111.11111111111111,250000.0,55.55555555555556,,2,,4.0,0.0,1.0,,,,,,,not applicable,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
25-34,Male,Head of household,5,Secondary School,Business,Water Tank,500m-1km,25 - 30,Not every day / irregular,50000.0,,1,1.0,Seasonal scarcity,Yes,Teacher,Primary,Private,"500-1,000",Less than 50,2,Borehole / Well,500000.0,Always available,Yes,Poor water quality,More than 3 times,1,More than 3 times,No,Daily,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Lack of purified water ,Provide chlorine to purify the water,Provision of Adequate water supplies ,27.5,1,['Seasonal scarcity'],500.0,50000.0,11.111111111111112,500000.0,111.11111111111111,250000.0,55.55555555555556,,2,,4.0,0.0,7.0,,,,,,,not applicable,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
25-34,Male,Head of household,5,Secondary School,Business,Water Tank,More than 1km,25 - 30,Three or more times per day,100000.0,1.0,1,3.0,Long distance to water source,Yes,Student,University/College,Public,"More than 2,000",More than 200,1,Water tank,500000.0,6-12 hours,No,"Long queues, Poor water quality, Limited storage facilities",Rarely,none,2-3 times,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Long distance ,By introduceing pipping ,Not Provided,27.5,1,['Long distance to water source'],1020.0,100000.0,22.222222222222225,500000.0,111.11111111111111,250000.0,55.55555555555556,,1,9.0,2.5,1.0,4.0,,,,,,,not applicable,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
25-34,Male,Head of household,6,Tertiary school,Farming,Water Tank,More than 1km,25 - 30,Once per day,14000.0,,2,3.0,High cost of water,Yes,Student,University/College,Public,"More than 2,000",50-100,0,Borehole / Well,0.0,Always available,Yes,Poor water quality,Once,0,2-3 times,No,Rarely (once in a while),No,,,,,,,250000.0,,,,,,,,,Not Applicable,Lack of money ,Water pipe reach every household ,Every citizen is having rights to access Portable water ,27.5,2,['High cost of water'],1020.0,14000.0,3.111111111111111,0.0,0.0,250000.0,55.55555555555556,,0,,2.5,0.0,1.0,,,,,,,not applicable,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Relative,13,Secondary School,Casual labour,Water Tank,500m-1km,more than 120,Once per day,35000.0,1.0,2,3.0,Long distance to water source,Yes,Teacher,Secondary,Public,"500-1,000",Less than 50,1,Water tank,150000.0,2-6 hours,No,Poor water quality,2-3 times,none,Once,Yes,A few times per month,No,,,,,,,250000.0,,,,,,,,,Not Applicable,The cost of buying is high,To buy at cheap price , Purification is poorly done,130.0,2,['Long distance to water source'],500.0,35000.0,7.777777777777779,150000.0,33.333333333333336,250000.0,55.55555555555556,,1,4.0,1.0,1.0,2.0,,,,,,,not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1
25-34,Male,Relative,11,Secondary School,Salaried job,Water Tank,More than 1km,25 - 30,Twice per day,57000.0,0.0,2,3.0,"High cost of water, Long distance to water source, Poor water quality",Yes,Teacher,University/College,Public,"500-1,000",Less than 50,1,Water tank,1000000.0,6-12 hours,No,"Water is expensive, Water is far from classrooms, Limited storage facilities",2-3 times,1,2-3 times,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,"Longtime distances to water points.
Poor storage facilities ",Pipe system should be introduced such that the used of water tank should be dissolved. ,Water treatment should be high encouraged ,27.5,2,"['High cost of water', 'Long distance to water source', 'Poor water quality']",1020.0,57000.0,12.666666666666668,1000000.0,222.22222222222223,250000.0,55.55555555555556,,1,9.0,2.5,1.0,4.0,,,,,,,not applicable,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1
25-34,Male,Tenant,7,Tertiary school,Casual labour,Borehole,100-500m,25 - 30,Once per day,50000.0,1.0,3,3.0,High cost of water,Yes,Teacher,Secondary,Public,Less than 500,Less than 50,1,Borehole / Well,200000.0,Less than 2 hours,No,Poor water quality,Once,0,Once,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Distance. The water bodies are far away from some area like Jebel in Juba City where I recently reside in.,"I'm just a citizen with idea but if the idea is seconded by individuals who are willing to serve the nation, then anything is possible to be done.","Whoever will get this information, please we've hard difficulties in accessing water, so we need help possibly. Thanks!",27.5,3,['High cost of water'],300.0,50000.0,11.111111111111112,200000.0,44.44444444444445,250000.0,55.55555555555556,,1,1.0,1.0,1.0,4.0,,,,,,,not applicable,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
25-34,Male,Relative,50,Tertiary school,Salaried job,Water Tank,More than 1km,25 - 30,Twice per day,400000.0,1.0,1,3.0,High cost of water,Yes,Student,University/College,Public,"More than 2,000",More than 200,1,Water tank,5000000.0,Always available,Yes,Poor water quality,2-3 times,1,More than 3 times,Yes,A few times per week,No,,,,,,,250000.0,,,,,,,,,Not Applicable,Too expensive ,Connecting water through pipes around Juba ,I have no much rather than the information above ,27.5,1,['High cost of water'],1020.0,400000.0,88.8888888888889,5000000.0,1111.111111111111,250000.0,55.55555555555556,,1,,4.0,1.0,4.0,,,,,,,not applicable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
